,Title,Movie Info,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),sales,Release Date,Running Time,License,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western
18,Star Wars: Episode VIII - The Last Jedi,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",2017,Walt Disney Studios Motion Pictures,317000000,220009584,620181382,714226324,1334407706,13-Dec-17,2 hr 32 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",2018,Universal Pictures,170000000,148024610,417719760,892746536,1310466296,6-Jun-18,2 hr 8 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",2013,Walt Disney Studios Motion Pictures,150000000,243390,400953009,883587509,1284540518,22-Nov-13,1 hr 42 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
21,Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",2017,Walt Disney Studios Motion Pictures,160000000,174750616,504481165,761634799,1266115964,16-Mar-17,2 hr 9 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
22,Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,2018,Walt Disney Studios Motion Pictures,June 14 2018 (16 markets),182687905,608581744,634643923,1243225667,16-Mar-17,2 hr 9 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
23,The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",2017,Universal Pictures,250000000,98786705,226008385,1009996733,1236005118,12-Apr-17,2 hr 16 min,PG-13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013,Walt Disney Studios Motion Pictures,200000000,174144585,409013994,806563211,1215577205,24-Apr-13,2 hr 10 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Minions,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015,Universal Pictures,74000000,115718405,336045770,823398892,1159444662,9-Apr-15,1 hr 31 min,PG,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,2016,Walt Disney Studios Motion Pictures,250000000,179139142,408084349,746962067,1155046416,27-Apr-16,2 hr 27 min,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",2018,Warner Bros.,December 7 2018 (China),67873522,335104314,813424079,1148528393,27-Apr-16,2 hr 27 min,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
