,Title,Movie Info,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),sales,Release Date,Running Time,License,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western
76,Ice Age: Dawn of the Dinosaurs,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",2009,Twentieth Century Fox,90000000,41690382,196573705,690113112,886686817,29-Jun-09,1 hr 34 min,PG,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,Spectre,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",2015,Sony Pictures Entertainment (SPE),245000000,70403148,200074609,680630703,880705312,26-Oct-15,2 hr 28 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",2017,Sony Pictures Entertainment (SPE),175000000,117027503,334201140,545965784,880166924,5-Jul-17,2 hr 13 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",2012,Twentieth Century Fox,95000000,46629259,161321843,715922939,877244782,27-Jun-12,1 hr 28 min,PG,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,Batman v Superman: Dawn of Justice,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,2016,Warner Bros.,250000000,166007347,330360194,543277334,873637528,23-Mar-16,2 hr 31 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Wolf Warrior 2,"China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.",2017,The H Collective,30100000,219022,2721100,867604339,870325439,27-Jul-17,2 hr 3 min,PG-13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
82,Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",2005,Twentieth Century Fox,113000000,108435841,380270577,488119983,868390560,18-May-05,2 hr 20 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
83,The Hunger Games: Catching Fire,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,2013,Lionsgate,130000000,158074286,424668047,440343699,865011746,15-Nov-13,2 hr 26 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
84,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",2017,Walt Disney Studios Motion Pictures,200000000,146510104,389813101,473942950,863756051,25-Apr-17,2 hr 16 min,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,Black Panther: Wakanda Forever,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,2022,Walt Disney Studios Motion Pictures,November 4 2022 (Iceland),181339761,453829060,405379776,859208836,25-Apr-17,2 hr 16 min,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.",2015,Walt Disney Studios Motion Pictures,175000000,90440272,356921711,501926308,858848019,10-Jun-15,1 hr 35 min,PG,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
87,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018,Sony Pictures Entertainment (SPE),100000000,80255756,213515506,642569645,856085151,3-Oct-18,1 hr 52 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",2017,Walt Disney Studios Motion Pictures,180000000,122744989,315058289,540243517,855301806,24-Oct-17,2 hr 10 min,PG-13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
89,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012,Lionsgate,120000000,141067634,292324737,556269211,848593948,14-Nov-12,1 hr 55 min,PG-13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
90,Guardians of the Galaxy Vol. 3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",2023,Walt Disney Studios Motion Pictures,April 13 2023 (Italy),118414021,358995815,486559962,845555777,14-Nov-12,1 hr 55 min,PG-13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
91,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,Warner Bros.,160000000,62785337,292587330,546443300,839030630,15-Jul-10,2 hr 28 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
92,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009,DreamWorks,200000000,108966307,402111870,434191823,836303693,19-Jun-09,2 hr 29 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,Spider-Man,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",2002,Sony Pictures Entertainment (SPE),139000000,114844116,407022860,418002176,825025036,3-May-02,2 hr 1 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,"Hi, Mom",A woman travels back in time to befriend her own mother in an attempt to make her life better.,2021,"February 12, 2021 (China)",149000000,2 hr 8 min,822009764,822009764,822854286,30-May-17,2 hr 21 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
94,Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",2017,Warner Bros.,149000000,103251471,412845172,410009114,822854286,30-May-17,2 hr 21 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
96,Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",1996,Twentieth Century Fox,75000000,50228264,306169268,511231623,817400891,3-Jul-96,2 hr 25 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,Walt Disney Studios Motion Pictures,October 27 2017 (Mexico),50802605,210460015,603877039,814337054,3-Jul-96,2 hr 25 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,2016,Warner Bros.,180000000,74403387,234037575,580006426,814044001,16-Nov-16,2 hr 12 min,PG-13,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99,Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",2007,DreamWorks,160000000,121629270,322719944,490647436,813367380,17-May-07,1 hr 33 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
100,Jumanji: The Next Level,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",2019,Sony Pictures Entertainment (SPE),125000000,59251543,320314960,481378969,801693929,4-Dec-19,2 hr 3 min,PG-13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",2004,Warner Bros.,130000000,93687367,250105651,547752679,797858331,2-Jun-04,2 hr 22 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
102,Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,2017,Walt Disney Studios Motion Pictures,230000000,62983253,172558876,623363422,795922298,24-May-17,2 hr 9 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,E.T. the Extra-Terrestrial,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,1982,Universal Pictures,10500000,11835389,437141279,304203888,792910554,11-Jun-82,1 hr 55 min,PG,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
104,Mission: Impossible - Fallout,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",2018,Paramount Pictures,178000000,61236534,220159104,571498294,791657398,25-Jul-18,2 hr 27 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,2012,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,2009,Sony Pictures Entertainment (SPE),200000000,65237614,166112167,625105659,791217826,11-Nov-09,2 hr 38 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",2008,Paramount Pictures,185000000,100137835,317101119,473552823,790653942,21-May-08,2 hr 2 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Spider-Man 2,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,2004,Sony Pictures Entertainment (SPE),200000000,88156227,373585825,415390628,788976453,30-Jun-04,2 hr 7 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,Fast & Furious 6,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",2013,Universal Pictures,160000000,97375245,238679850,550001118,788680968,17-May-13,2 hr 10 min,PG-13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",2018,Twentieth Century Fox,110000000,125507153,324591735,461304874,785896609,16-May-18,1 hr 59 min,R,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",2016,Twentieth Century Fox,58000000,132434639,363070709,419766082,782836791,9-Feb-16,1 hr 48 min,R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,Twentieth Century Fox,11000000,1554475,460998507,195751992,775398007,25-May-77,2 hr 1 min,PG,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
112,No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",2021,Metro-Goldwyn-Mayer (MGM),September 29 2021 (South Korea),55225007,160891007,613262000,774153007,25-May-77,2 hr 1 min,PG,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
113,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014,Walt Disney Studios Motion Pictures,170000000,94320883,333718600,439631547,773350147,30-Jul-14,2 hr 1 min,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022,Warner Bros.,March 1 2022 (South Korea),134008624,369345583,401617000,770962583,30-Jul-14,2 hr 1 min,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,Thor: Love and Thunder,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",2022,Walt Disney Studios Motion Pictures,July 6 2022 (APAC EMEA),144165107,343256830,417671251,760928081,30-Jul-14,2 hr 1 min,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Fast & Furious Presents: Hobbs & Shaw,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,2019,Universal Pictures,200000000,60038950,173956935,586775991,760732926,1-Jul-19,2 hr 17 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,The Da Vinci Code,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",2006,Sony Pictures Entertainment (SPE),125000000,77073388,217536138,542470807,760006945,17-May-06,2 hr 29 min,PG-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
118,Maleficent,"A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land.",2014,Walt Disney Studios Motion Pictures,180000000,69431298,241410378,518443307,759853685,28-May-14,1 hr 37 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
119,The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",2012,Sony Pictures Entertainment (SPE),230000000,62004688,262030663,495900000,757930663,28-Jun-12,2 hr 16 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,The Hunger Games: Mockingjay - Part 1,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",2014,Lionsgate,125000000,121897634,337135885,418220826,755356711,19-Nov-14,2 hr 3 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
121,Shrek Forever After,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,2010,DreamWorks,165000000,70838207,238736787,513864080,752600867,20-May-10,1 hr 35 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
122,Gravity,Two astronauts work together to survive after an accident leaves them stranded in space.,2013,Warner Bros.,100000000,55785112,274092705,473957244,748049949,3-Oct-13,1 hr 31 min,PG-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
123,Madagascar 3: Europe's Most Wanted,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.",2012,DreamWorks,145000000,60316738,216391482,530529792,746921274,6-Jun-12,1 hr 35 min,PG,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,2016,Warner Bros.,175000000,133682248,325100054,421746840,746846894,3-Aug-16,2 hr 3 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
125,X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,2014,Twentieth Century Fox,200000000,90823660,233921534,512124166,746045700,21-May-14,2 hr 12 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,2005,Walt Disney Studios Motion Pictures,180000000,65556312,291710957,453302158,745013115,7-Dec-05,2 hr 23 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
127,Monsters University,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",2013,Walt Disney Studios Motion Pictures,June 19 2013 (Egypt),82429469,268492764,475066881,743559645,7-Dec-05,2 hr 23 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
128,The Matrix Reloaded,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",2003,Warner Bros.,150000000,91774413,281576461,460271476,741847937,15-May-03,2 hr 18 min,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009,Walt Disney Studios Motion Pictures,175000000,68108790,293004164,442094938,735099102,28-May-09,1 hr 36 min,PG,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130,Ne Zha,"Born with unique powers, a boy is recruited to fight demons and save the community that fears him.",2019,Well Go USA Entertainment,July 26 2019 (China),1015755,3695533,722568541,726264074,28-May-09,1 hr 36 min,PG,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131,F9: The Fast Saga,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,2021,Universal Pictures,May 19 2021 (APAC EMEA),70043165,173005945,553223556,726229501,28-May-09,1 hr 36 min,PG,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
132,Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",2014,Walt Disney Studios Motion Pictures,170000000,95023721,259766572,454654931,714421503,26-Mar-14,2 hr 16 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
133,The Twilight Saga: Breaking Dawn - Part 1,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",2011,Summit Entertainment,110000000,138122261,281287133,430918723,712205856,16-Nov-11,1 hr 57 min,PG-13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
134,The Twilight Saga: New Moon,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",2009,Summit Entertainment,50000000,142839137,297816253,413209228,711025481,18-Nov-09,2 hr 10 min,PG-13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
135,Dawn of the Planet of the Apes,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,2014,Twentieth Century Fox,170000000,72611427,208545589,502098977,710644566,9-Jul-14,2 hr 10 min,PG-13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
136,Transformers,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",2007,DreamWorks,150000000,70502384,319246193,390463587,709709780,28-Jun-07,2 hr 24 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",2014,Sony Pictures Entertainment (SPE),April 16 2014 (Belgium),91608337,202853933,506128390,708982323,28-Jun-07,2 hr 24 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,2023,Universal Pictures,April 27 2023 (Italy),67017410,145960660,558749000,704709660,28-Jun-07,2 hr 24 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014,Paramount Pictures,165000000,47510360,188020017,515150820,703170837,5-Nov-14,2 hr 49 min,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
140,It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",2017,Warner Bros.,35000000,123403419,328874981,372967570,701842551,6-Sep-17,2 hr 15 min,R,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,The Wandering Earth,"As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.",2019,CMC Pictures,January 31 2019 (Australia),1685287,5971413,694021099,699992512,6-Sep-17,2 hr 15 min,R,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,The Twilight Saga: Eclipse,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",2010,Summit Entertainment,68000000,64832191,300531751,397978074,698509825,30-Jun-10,2 hr 4 min,PG-13,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
143,Mission: Impossible - Ghost Protocol,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",2011,Paramount Pictures,145000000,12785204,209397903,485315477,694713380,14-Dec-11,2 hr 12 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,Mamma Mia!,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,2008,Universal Pictures,52000000,27751240,144169664,550308728,694478392,27-Jun-08,1 hr 48 min,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
145,The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012,Lionsgate,78000000,152535747,408010692,286384032,694394724,8-Mar-12,2 hr 22 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
146,Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",2023,Columbia Pictures,May 31 2023 (France),120663589,381311319,308499543,689810862,8-Mar-12,2 hr 22 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
147,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,Walt Disney Studios Motion Pictures,November 23 2016 (Domestic),56631401,248757044,438471864,687228908,8-Mar-12,2 hr 22 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
148,Detective Chinatown 3,A major crime occurs in Tokyo when detectives Tang Ren and Qin Feng are invited to investigate the crime. A battle between the strongest detectives in Asia is about to break out with bursts of laughter.,2021,Warner Bros.,November 23 2016 (Domestic),February 12 2021 (China),686257563,686257563,687228908,8-Mar-12,2 hr 22 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
149,Mission: Impossible - Rogue Nation,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,2015,Paramount Pictures,150000000,55520089,195042377,487674259,682716636,24-Jul-15,2 hr 11 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994,Paramount Pictures,55000000,24450602,330455270,347771195,678226465,6-Jul-94,2 hr 22 min,PG-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
151,Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",2016,Walt Disney Studios Motion Pictures,165000000,85058311,232641920,445154156,677796076,25-Oct-16,1 hr 55 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
152,The Sixth Sense,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",1999,Walt Disney Studios Motion Pictures,40000000,26681262,293506292,379300140,672806432,6-Aug-99,1 hr 47 min,PG-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
153,Man of Steel,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,2013,Warner Bros.,225000000,116619362,291045518,377000000,668045518,12-Jun-13,2 hr 23 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,Ice Age: The Meltdown,"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths.",2006,Twentieth Century Fox,80000000,68033544,195330621,471763885,667094506,29-Mar-06,1 hr 31 min,PG,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
